0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:21:12 +0700] "GET /LOWJISHOP/resources/image/dangnhap/iconuser.png HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:23:08 +0700] "GET /LOWJISHOP/api/KiemTraDangNhap?email=lowji55%40gmail.com&matkhau=1234567 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:23:08 +0700] "GET /LOWJISHOP/thongke/ HTTP/1.1" 200 5751
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:23:08 +0700] "GET /LOWJISHOP/resources/css/morris.css HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:23:08 +0700] "GET /LOWJISHOP/resources/css/style.css HTTP/1.1" 200 140238
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:23:08 +0700] "GET /LOWJISHOP/resources/JS/raphael-min.js HTTP/1.1" 200 83924
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:23:08 +0700] "GET /LOWJISHOP/resources/JS/scripts.js HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:23:08 +0700] "GET /LOWJISHOP/resources/css/icon-font.min.css HTTP/1.1" 200 7354
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:23:08 +0700] "GET /LOWJISHOP/resources/css/font-awesome.css HTTP/1.1" 200 29062
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:23:08 +0700] "GET /LOWJISHOP/resources/JS/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:23:08 +0700] "GET /LOWJISHOP/resources/JS/jquery.nicescroll.js HTTP/1.1" 200 59364
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:23:08 +0700] "GET /LOWJISHOP/resources/JS/morris.js HTTP/1.1" 200 46806
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:23:08 +0700] "GET /LOWJISHOP/resources/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:23:13 +0700] "GET /LOWJISHOP/adminsanpham HTTP/1.1" 200 12252
0:0:0:0:0:0:0:1 - - [05/Dec/2019:07:24:20 +0700] "GET /LOWJISHOP/admindonhang HTTP/1.1" 200 5300
